iTemp,eTemp,X,Y,Z,pressure,time,GPS coord,GPS coord,Alt
19.1015625,15.6640625,-285.724,-60.024,629.764,825.09,230701.0,0.0,0.0,0.0,18.9
18.796875,15.7421875,-191.23499999999999,-42.394999999999996,947.757,825.5,230701.0,0.0,0.0,0.0,18.74
18.7890625,15.6953125,-47.885,-129.076,1022.665,823.87,230705.0,0.0,0.0,0.0,18.59
18.78125,15.828125,-254.492,-32.33,969.9,822.36,230709.0,0.0,0.0,0.0,18.61
18.7734375,15.6953125,-256.139,59.78,897.981,820.36,230709.0,0.0,0.0,0.0,18.47
18.53125,15.6328125,-172.386,-7.076,1004.487,819.18,230713.0,0.0,0.0,0.0,18.0
18.2109375,15.6015625,-133.773,-21.594,981.5509999999999,820.55,230713.0,0.0,0.0,0.0,18.0
18.3671875,15.5625,-106.384,91.317,992.47,814.09,230716.0,0.0,0.0,0.0,17.98
18.125,15.484375,-196.42,-53.192,807.823,822.74,230716.0,0.0,0.0,0.0,17.92
17.8046875,15.359375,-69.601,137.006,955.016,814.68,230720.0,0.0,0.0,0.0,17.64
17.6796875,15.5703125,-13.603,462.685,347.76099999999997,826.39,230720.0,0.0,0.0,0.0,17.77
17.421875,15.0078125,-27.145,-161.101,1271.85,825.86,230724.0,0.0,0.0,0.0,17.58
17.328125,14.90625,66.429,297.131,1045.845,823.88,230724.0,0.0,0.0,0.0,17.5
17.4921875,15.0,434.381,-78.69,1202.493,730.94,230728.0,0.0,0.0,0.0,15.85
17.5390625,15.0625,-155.855,43.249,881.694,824.27,230731.0,0.0,0.0,0.0,17.67
17.3125,15.0546875,-133.651,-142.252,1004.67,826.21,230731.0,0.0,0.0,0.0,17.61
17.2734375,15.0859375,7.625,-43.493,913.658,816.51,230731.0,0.0,0.0,0.0,17.45
17.3984375,15.390625,141.703,55.083,799.649,736.25,230735.0,0.0,0.0,0.0,15.96
17.609375,15.2421875,275.842,-141.276,919.148,702.83,230735.0,0.0,0.0,0.0,15.44
17.7265625,15.3515625,403.881,-63.745,1441.552,784.51,230739.0,0.0,0.0,0.0,17.15
17.9765625,15.5234375,184.769,236.802,976.244,716.24,230739.0,0.0,0.0,0.0,15.14
17.6015625,15.3671875,195.566,37.759,1037.732,822.06,230744.0,0.0,0.0,0.0,17.63
17.703125,15.25,167.079,-70.211,1074.5149999999999,707.8,230747.0,0.0,0.0,0.0,15.19
17.6796875,14.8671875,-143.838,-82.777,1053.5919999999999,822.95,230750.0,0.0,0.0,0.0,17.64
17.7265625,14.46875,20.191,-198.37199999999999,1105.381,745.73,230750.0,0.0,0.0,0.0,15.31
17.75,14.3203125,-262.90999999999997,-316.77299999999997,943.487,825.2,230754.0,0.0,0.0,0.0,17.53
17.921875,14.8125,147.132,-547.414,706.685,828.03,230758.0,0.0,0.0,0.0,17.94
17.796875,14.859375,295.057,-0.244,895.297,822.81,230802.0,0.0,0.0,0.0,17.61
19.8125,14.765625,373.442,284.382,744.871,642.96,230805.0,0.0,0.0,0.0,14.75
18.1796875,14.75,227.53,133.834,918.7819999999999,601.28,230805.0,0.0,0.0,0.0,14.81
18.140625,14.8515625,214.049,178.608,1012.295,661.46,230805.0,0.0,0.0,0.0,15.78
18.2421875,15.0859375,340.807,-20.74,940.803,738.24,230809.0,0.0,0.0,0.0,17.03
18.203125,15.171875,297.802,-217.03799999999998,1088.911,757.92,230809.0,0.0,0.0,0.0,17.12
18.2890625,15.40625,206.546,155.79399999999998,935.191,689.86,230812.0,0.0,0.0,0.0,16.34
18.5625,15.5078125,190.625,222.284,948.55,694.49,230816.0,0.0,0.0,0.0,16.61
18.609375,15.71875,218.746,227.408,957.944,705.18,230817.0,0.0,0.0,0.0,16.81
18.5703125,15.84375,-87.962,197.152,862.2959999999999,815.79,230820.0,0.0,0.0,0.0,18.13
18.5703125,15.9375,-104.371,-26.169,964.105,838.49,230820.0,0.0,0.0,0.0,18.13
18.6328125,15.8046875,-208.132,-251.503,883.4019999999999,826.61,230823.0,0.0,0.0,0.0,18.65
18.6953125,15.90625,-46.726,-170.922,1137.04,827.41,230823.0,0.0,0.0,0.0,18.66
18.90625,15.890625,-134.505,-31.659,874.191,823.75,230827.0,0.0,0.0,0.0,18.58
18.6015625,15.8515625,252.296,153.35399999999998,759.328,779.7,230831.0,0.0,0.0,0.0,17.86
18.5078125,15.8984375,250.1,143.716,1107.516,824.61,230835.0,0.0,0.0,0.0,18.39
18.3671875,15.796875,-301.401,127.429,497.089,827.78,230838.0,0.0,0.0,0.0,18.36
