iTemp,eTemp,X,Y,Z,pressure,time,GPS coord,GPS coord,Alt
20.265625,16.46875,133.224,156.221,968.802,854.73,72944.0,45.66813300000001,-111.06076083333333,1501.0,20.78
20.3046875,16.421875,136.518,158.6,968.985,854.72,72946.0,45.66813600000001,-111.06075833333334,1500.0,20.77
20.28125,16.4453125,132.492,157.258,971.12,854.71,72948.0,45.6681365,-111.06075799999998,1500.0,20.77
20.2734375,16.4453125,133.285,156.221,968.802,854.71,72951.0,45.668131333333335,-111.06075799999998,1500.0,20.77
20.3203125,16.421875,135.42,157.014,969.107,854.7,72952.0,45.66813066666667,-111.06076633333332,1500.0,20.76
20.390625,16.4375,135.298,158.234,967.704,854.69,72952.0,45.66813066666667,-111.06076633333332,1500.0,20.76
20.25,16.71875,134.871,157.685,971.73,854.69,72955.0,45.668131666666675,-111.0607745,1500.0,20.76
20.28125,16.4140625,134.993,157.014,966.362,854.68,72957.0,45.668134333333334,-111.06077983333334,1500.0,20.75
20.2734375,16.4296875,135.176,155.672,965.3249999999999,854.67,72959.0,45.6681365,-111.06078316666664,1500.0,20.75
20.2109375,16.4375,132.67499999999998,158.905,964.105,854.67,73001.0,45.66814183333333,-111.06078649999999,1499.0,20.74
20.25,16.4296875,132.67499999999998,157.197,966.423,854.75,73003.0,45.6681475,-111.06078666666664,1499.0,20.74
20.359375,16.40625,132.126,155.733,966.972,854.75,73005.0,45.66815100000001,-111.060788,1498.0,20.74
20.34375,16.40625,134.566,157.319,972.889,854.73,73008.0,45.66815533333333,-111.06079383333332,1497.0,20.73
20.1953125,16.71875,132.736,156.343,967.155,854.73,73009.0,45.66816133333333,-111.06079983333332,1497.0,20.72
20.2265625,16.4609375,133.102,158.356,968.192,854.72,73009.0,45.66816133333333,-111.06079983333332,1497.0,20.72
20.21875,16.40625,131.882,156.953,971.669,854.72,73012.0,45.6681685,-111.06080316666666,1495.0,20.72
20.2109375,16.4296875,134.505,156.709,967.948,854.71,73014.0,45.668173499999995,-111.06080183333334,1493.0,20.71
20.2421875,16.4140625,135.054,155.916,971.486,854.79,73016.0,45.6681775,-111.06080133333334,1493.0,20.7
20.34375,16.40625,133.102,156.831,966.057,854.79,73018.0,45.668181833333335,-111.06080650000001,1492.0,20.7
20.234375,16.375,134.444,158.295,968.131,854.79,73020.0,45.668186,-111.06080833333333,1491.0,20.7
20.21875,16.703125,133.773,159.271,959.896,854.78,73022.0,45.66819116666667,-111.0608095,1490.0,20.69
20.21875,16.4453125,133.59,157.746,983.747,854.67,73025.0,45.66819766666667,-111.06081783333333,0.0,20.69
