iTemp,eTemp,X,Y,Z,pressure,time,GPS coord,GPS coord,Alt
15.859375,15.3125,91.5,95.038,976.793,780.71,0.0,0.0,0.0,0.0,15.39
15.859375,15.3203125,84.17999999999999,96.258,977.525,780.88,0.0,0.0,0.0,0.0,15.38
15.8984375,15.34375,81.984,96.319,974.231,780.86,232128.0,0.0,0.0,0.0,15.36
15.875,15.359375,94.428,95.343,995.6419999999999,780.92,232128.0,0.0,0.0,0.0,15.34
16.0,15.375,89.426,95.831,990.823,780.95,232132.0,0.0,0.0,0.0,15.36
15.8515625,15.546875,76.92099999999999,91.5,976.366,781.19,232132.0,0.0,0.0,0.0,15.33
15.7578125,15.4609375,91.988,96.197,983.259,781.19,232136.0,0.0,0.0,0.0,15.33
15.796875,15.4140625,91.80499999999999,95.709,978.867,781.26,232139.0,0.0,0.0,0.0,15.43
15.890625,15.4453125,101.25999999999999,96.258,987.346,781.41,232139.0,0.0,0.0,0.0,15.46
15.984375,15.4765625,106.81099999999999,95.77,991.1279999999999,781.45,232139.0,0.0,0.0,0.0,15.55
16.140625,15.5078125,102.846,97.417,969.961,781.48,232143.0,0.0,0.0,0.0,15.45
16.109375,15.46875,103.029,96.319,993.6899999999999,781.58,232143.0,0.0,0.0,0.0,15.51
15.9921875,15.7109375,94.306,89.67,988.749,781.7,232147.0,0.0,0.0,0.0,15.47
15.96875,15.5390625,69.66199999999999,93.818,962.2139999999999,781.82,232147.0,0.0,0.0,0.0,15.42
15.953125,15.421875,68.015,91.80499999999999,998.021,781.84,232151.0,0.0,0.0,0.0,15.49
15.8515625,15.3515625,88.206,94.916,966.789,782.21,232151.0,0.0,0.0,0.0,15.42
17.7734375,15.2890625,106.201,95.221,979.965,782.04,232155.0,0.0,0.0,0.0,15.32
15.875,15.2578125,93.02499999999999,100.589,986.187,782.58,232155.0,0.0,0.0,0.0,15.23
15.578125,15.203125,84.17999999999999,84.17999999999999,1022.36,783.01,232158.0,0.0,0.0,0.0,15.2
15.515625,15.375,86.864,89.304,991.799,782.75,232158.0,0.0,0.0,0.0,15.15
15.484375,15.1953125,103.639,97.112,975.329,783.04,232202.0,0.0,0.0,0.0,15.21
15.5546875,15.1328125,79.727,98.576,995.947,783.01,232202.0,0.0,0.0,0.0,15.26
15.6171875,15.1328125,75.396,89.853,977.8299999999999,783.03,232206.0,0.0,0.0,0.0,15.33
15.8125,15.1015625,72.956,97.722,996.313,783.16,232206.0,0.0,0.0,0.0,15.35
15.7109375,15.0546875,74.542,86.376,986.614,783.06,232210.0,0.0,0.0,0.0,15.35
15.703125,14.9765625,91.92699999999999,92.598,984.967,783.29,232213.0,0.0,0.0,0.0,15.31
15.65625,15.1171875,89.67,95.282,976.305,783.38,232213.0,0.0,0.0,0.0,15.25
15.578125,14.8984375,76.982,86.803,964.044,783.49,232213.0,0.0,0.0,0.0,15.26
15.5625,14.90625,68.80799999999999,90.524,979.843,783.55,232217.0,0.0,0.0,0.0,15.23
15.734375,14.8828125,94.916,95.953,984.174,783.76,232217.0,0.0,0.0,0.0,15.24
15.6953125,14.875,125.05,96.441,991.982,783.91,232221.0,0.0,0.0,0.0,15.21
